date,day_of_week,name,period,prob,label
2020-11-23,Mon,沪深300,一月,0.12024279990059435,市场
2020-11-23,Mon,中证500,一周,0.4532145324449503,市场
2020-11-23,Mon,中证500,两周,0.6400767598830162,市场
2020-11-23,Mon,中证500,一月,0.7876648950948683,市场
2020-11-23,Mon,中证1000,一周,0.3078063628897507,市场
2020-11-23,Mon,中证1000,两周,0.7698021984652553,市场
2020-11-23,Mon,中证1000,一月,0.3522378273587537,市场
2020-11-23,Mon,有色,一周,0.5091675450806946,期货
2020-11-23,Mon,有色,两周,0.5420171036465439,期货
2020-11-23,Mon,有色,一月,0.5998212060472425,期货
2020-11-23,Mon,黑色,一周,0.5497616189037492,期货
2020-11-23,Mon,黑色,两周,0.564403037511021,期货
2020-11-23,Mon,黑色,一月,0.6362570021551267,期货
2020-11-23,Mon,农产品,一周,0.4485048720677056,期货
2020-11-23,Mon,农产品,两周,0.5481964191919694,期货
2020-11-23,Mon,农产品,一月,0.5598837809789643,期货
2020-11-23,Mon,能化,一周,0.42048699016264574,期货
2020-11-23,Mon,能化,两周,0.48220447664547983,期货
2020-11-23,Mon,能化,一月,0.36834330653090763,期货
2020-11-24,Tue,上证50,一周,0.5512263307668445,权益市场
2020-11-24,Tue,上证50,两周,0.5948935672971862,权益市场
2020-11-24,Tue,上证50,一月,0.7309271118982374,权益市场
2020-11-24,Tue,沪深300,一周,0.5233178637373531,权益市场
2020-11-24,Tue,沪深300,两周,0.5314984361169708,权益市场
2020-11-24,Tue,沪深300,一月,0.6463315588532815,权益市场
2020-11-24,Tue,中证500,一周,0.7091185296176546,权益市场
2020-11-24,Tue,中证500,两周,0.5740559988197642,权益市场
2020-11-24,Tue,中证500,一月,0.7727956885146607,权益市场
2020-11-24,Tue,中证1000,一周,0.7540303545005191,权益市场
2020-11-24,Tue,中证1000,两周,0.48192761704410986,权益市场
2020-11-24,Tue,中证1000,一月,0.7537852295324605,权益市场
2020-11-24,Tue,上证50,一周,0.5619158285869565,市场
2020-11-24,Tue,上证50,两周,0.48695210326877586,市场
2020-11-24,Tue,上证50,一月,0.2754403539365951,市场
2020-11-24,Tue,沪深300,一周,0.39560875492742864,市场
